"","ID_R","No.","Author(s)","Year","Title","Journal"
"191",10191,776,"Shoshani & Slone",2008,"The drama of media coverage of terrorism: Emotional and attitudinal impact on the audience","Studies in Conflict and Terrorism"
"192",10192,778,"Shoshani & Slone",2016,"Through the Looking Glass: The Role of Ethnicity and Affiliation in Responses to Terrorism in the Media","Frontiers in Psychology"
"193",10193,785,"Sinclair & Locicero",2010,"Do Fears of Terrorism Predict Trust in Government?","Journal of Aggression, Conflict and Peace Research."
"194",10194,790,"Sirin & Geva",2013,"Examining the Distinct Effects of Emotive Triggers on Public Reactions to International Terrorism","Terrorism & Political Violence"
"195",10195,791,"Skitka",2005,"Patriotism or Nationalism? Understanding Post-September 11, 2001, Flag-Display Behavior'","Journal of Applied Social Psychology"
"196",10196,792,"Skitka et al.",2006,"Confrontational and Preventative Policy Responses to Terrorism: Anger Wants a Fight and Fear Wants ""Them"" to Go Away","Basic and Applied Social Psychology"
"197",10197,794,"Skitka, Bauman, & Mullen",2004,"Political tolerance and coming to psychological closure following the September 11, 2001, terrorist attacks: an integrative approach.","Personality and Social Psychology Bulletin"
"198",10198,801,"Sniderman et al.",2019,"Reactions to Terror Attacks: A Heuristic Model","Political Psychology"
"199",10199,804,"Solheim",2018,"Right-wing Terrorism and Out-group Trust: the Anatomy of a Terrorist Backlash","Terrorism and Political Violence"
"200",10200,806,"Solomon & Lavi",2005,"Israeli youth in the second intifada: PTSD and future orientation","JOURNAL OF THE AMERICAN ACADEMY OF CHILD AND ADOLESCENT PSYCHIATRY"
"201",10201,809,"Steele et al.",2019,"Emotion regulation and prejudice reduction following acute terrorist events: The impact of reflection before and after the Boston Marathon bombings","Group Processes & Intergroup Relations"
"202",10202,810,"Steele, Parker, & Lickel",2015,"Bias Within Because of Threat From Outside: The Effects of an External Call for Terrorism on Anti-Muslim Attitudes in the United States","Social Psychological and Personality Science"
"203",10203,811,"Steen-Johnson & Winsvold",2019,"Islamist Terrorism, Out-group Trust, and motivation to Control Prejudice","International Journal of Public Opinion Research"
"204",10204,817,"Stollberg, Fritsche, & Jonas",2017,"The Groupy Shift: Conformity to Liberal In-Group Norms as a Group-Based Response to Threatened Personal Control","Social Cognition"
"205",10205,822,"Stroessner et al.",2015,"When threat matters: Self-regulation, threat salience, and stereotyping","Journal of Experimental Social Psychology"
"206",10206,826,"Sun, Wu, & Poteyeva",2011,"Arab Americans' Opinion on Counterterrorism Measures: The Impact of Race, Ethnicity, and Religion","Studies in Conflict and Terrorism"
"207",10207,828,"Tabri, Wohl, & Caouette",2018,"Will we be harmed, will it be severe, can we protect ourselves? Threat appraisals predict collective angst (and its consequences)","European Journal of Social Psychology"
"208",10208,832,"Tamborini et al.",2017,"The Impact of Terrorist Attack News on Moral Intuitions and Outgroup Prejudice","Mass Communication and Society"
"209",10209,836,"Tartaglia, Rollero, & Bergagna",2019,"The two qides of Islamophobia and the perception of threat from Islamic terrorists","Journal of Community Psychology"
"210",10210,846,"Thorisdottir & Jost",2011,"Motivated Closed-Mindedness Mediates the Effect of Threat on Political Conservatism","Political Psychology"
"211",10211,852,"Tropp et al.",2017,"Intergroup Contact and the Potential for Post-Conflict Reconciliation","Peace and Conflict: Journal of Peace Psychology"
"212",10212,858,"Ullrich & Cohrs",2007,"Terrorism Salience increases System Justification: Experimental Evidence","Social Justice Research"
"213",10213,867,"Van Assche",2015,"Unpublished dataset","N/A"
"214",10214,868,"Van Assche & Dierckx",2019,"Attitudes Towards Outgroups Before and After Terror Attacks","Terrorism & Political Violence"
"215",10215,870,"Van de Vyver et al.",2016,"Boosting Belligerence: How the July 7, 2005, London Bombings Affected Liberals' Moral Foundations and Prejudice","Psychological Science"
"216",10216,873,"Van Hauwaert & Hubert",2020,"In-group solidarity or out-group hostility in response to terrorism in France? Evidence from a regression discontinuity design","European Journal of Political Research"
"217",10217,874,"Vasilopoulos",2018,"Terrorist events, emotional reactions, and political participation: the 2015 Paris attacks","West European Politics"
"218",10218,876,"Vasilopoulos & Brouard",2019,"System Justification and Affective Responses to Terrorism: Evidence from the November 2015 Paris Attacks","Political Psychology"
"219",10219,877,"Vasilopoulos et al.",2019,"Fear, Anger, and Voting for the Far Right: Evidence From the November 13, 2015 Paris Terror Attacks","Political Psychology"
"220",10220,875,"Vasilopoulos, Marcus, & Foucault",2018,"Emotional Responses to the Charlie Hebdo Attacks: Addressing the Authoritarianism Puzzle","Political Psychology"
"221",10221,879,"Vazquez & Hervas",2010,"Perceived benefits after terrorist attacks: The role of positive and negative emotions","Journal of Positive Psychology"
"222",10222,882,"Vergani & Tacchi",2016,"When Catholics turn right: the effects of the Islamic terrorism threat on the fragmented Catholic Italian voters","Journal of Ethnic and Migration Studies"
"223",10223,883,"Vergani et al.",2019,"United in Diversity, Divided in Adversity? Support for Right-Wing Eurosceptic Parties in the Face of Threat Differs Across Nations","Frontiers in Psychology"
"224",10224,885,"Victoroff et al.",2010,"Support for Religio-Political Aggression Among Teenaged Boys in Gaza: Part I: Psychological Findings","Aggressive Behavior"
"225",10225,890,"von Sikorski et al.",2017,"“Muslims are Not Terrorists”: Islamic State Coverage, Journalistic Differentiation between Terrorism and Islam, Fear Reactions, and Attitudes toward Muslims","Mass Communication and Society"
"226",10226,891,"Vorsina et al.",2019,"Social dominance orientation, fear of terrorism and support for counter-terrorism policies","Australian Journal of Political Science"
"227",10227,897,"Washburn & Skitka",2015,"Motivated and Displaced Revenge: Remembering 9/11 Suppresses Opposition to Military Intervention in Syria (for Some)","Analyses of Social Issues and Public Policy"
"228",10228,898,"Wayne",2019,"Risk or Retribution: How Citizens Respond to Terrorism","Working Paper"
"229",10229,913,"Willer & Adams",2008,"The threat of terrorism and support for the 2008 presidential candidates: Results of a national field experiment","Current Research in Social Psychology"
"230",10230,916,"Williamson",2019,"Pride and prejudice: Exploring how identity processes shape public attitudes towards Australian counter-terrorism measures","Australian and New Zealand Journal of Criminology"
"231",10231,918,"Wohl & Branscombe",2008,"Remembering historical victimization: collective guilt for current ingroup transgressions","Journal of Personality and Social Psychology"
"232",10232,919,"Wohl & Branscombe",2009,"Group threat, collective angst and ingroup forgiveness for the war in Iraq","Political Psychology"
"233",10233,923,"Woods & Marciniak",2016,"The Effects of Perceived Threat, Political Orientation, and Framing on Public Reactions to Punitive Immigration Law Enforcement Practices","Sociology of Race and Ethnicity"
"234",10234,934,"Zanbar, Kaniasty, & Ben-Tzur",2018,"Engagement in community activities and trust in local leaders as concomitants of psychological distress among Israeli civilians exposed to prolonged rocket attacks","Anxiety, Stress, and Coping"
"235",10235,937,"Zeitzoff",2018,"Anger, legacies of violence, and group conflict: An experiment in post-riot Acre, Israel","Conflict Management and Peace Science"
"236",10236,941,"Zipris et al.",2019,"Exposure to the 2014 Gaza War and Support for Militancy: The Role of Emotion Dysregulation","Personality and Social Psychology Bulletin"
"237",10237,945,"Munoz, Falcó-Gimeno, & Hernández",2020,"Unexpected Event during Survey Design: Promise and Pitfalls for Causal Inference","Political Analysis"
"238",10238,946,"Nussio",2020,"Attitudinal and Emotional Consequences of Islamist Terrorism. Evidence from the Berlin Attack","Political Psychology"
"239",10239,45,"Balcells & Torrats-Espinosa",2018,"Using a natural experiment to estimate the electoral consequences of terrorist attacks","PNAS"
"240",10240,382,"Hatton & Nielsen",2016,"'War on Terror' in our backyard: effects of framing and violent ISIS propaganda on anti-Muslim prejudice","Behavioral Sciences of Terrorism and Political Aggression"
"241",10241,947,"Hatton & Nielsen",2016,"'War on Terror' in our backyard: effects of framing and violent ISIS propaganda on anti-Muslim prejudice",NA
